Species	Expected_Initial_Lp	Day	Row	Column	Replicate	Counts	PoissonErr	Abundance
Ca	0	0	A	1	1	8	2.82842712474619	80000000
Ca	10	0	A	2	1	13	3.60555127546399	130000000
Ca	20	0	A	3	1	8	2.82842712474619	80000000
Ca	30	0	A	4	1	3	1.73205080756888	30000000
Ca	40	0	A	5	1	6	2.44948974278318	60000000
Ca	50	0	A	6	1	2	1.4142135623731	20000000
Ca	60	0	A	7	1	4	2	40000000
Ca	70	0	A	8	1	2.8	0.529150262212918	28000000
Ca	80	0	A	9	1	1.2	0.346410161513775	12000000
Ca	90	0	A	10	1	0.8	0.282842712474619	8000000
Ca	100	0	A	11	1	0	0	0
Ca	0	1	A	1	1	70	26.4575131106459	700000000
Ca	10	1	A	2	1	80	28.2842712474619	800000000
Ca	20	1	A	3	1	70	26.4575131106459	700000000
Ca	30	1	A	4	1	160	40	1600000000
Ca	40	1	A	5	1	0	0	0
Ca	50	1	A	6	1	0	0	0
Ca	60	1	A	7	1	0	0	0
Ca	70	1	A	8	1	0	0	0
Ca	80	1	A	9	1	0	0	0
Ca	90	1	A	10	1	0	0	0
Ca	100	1	A	11	1	0	0	0
Ca	0	2	A	1	1	90	30	900000000
Ca	10	2	A	2	1	130	36.0555127546399	1300000000
Ca	20	2	A	3	1	150	38.7298334620742	1500000000
Ca	30	2	A	4	1	200	44.7213595499958	2000000000
Ca	40	2	A	5	1	0	0	0
Ca	50	2	A	6	1	0	0	0
Ca	60	2	A	7	1	0	0	0
Ca	70	2	A	8	1	0	0	0
Ca	80	2	A	9	1	0	0	0
Ca	90	2	A	10	1	0	0	0
Ca	100	2	A	11	1	0	0	0
Ca	0	3	A	1	1	110	33.166247903554	1100000000
Ca	10	3	A	2	1	90	30	900000000
Ca	20	3	A	3	1	60	24.4948974278318	600000000
Ca	30	3	A	4	1	70	26.4575131106459	700000000
Ca	40	3	A	5	1	0	0	0
Ca	50	3	A	6	1	0	0	0
Ca	60	3	A	7	1	0	0	0
Ca	70	3	A	8	1	0	0	0
Ca	80	3	A	9	1	0	0	0
Ca	90	3	A	10	1	0	0	0
Ca	100	3	A	11	1	0	0	0
Ca	0	4	A	1	1	70	26.4575131106459	700000000
Ca	10	4	A	2	1	80	28.2842712474619	800000000
Ca	20	4	A	3	1	120	34.6410161513775	1200000000
Ca	30	4	A	4	1	90	30	900000000
Ca	40	4	A	5	1	0	0	0
Ca	50	4	A	6	1	0	0	0
Ca	60	4	A	7	1	0	0	0
Ca	70	4	A	8	1	0	0	0
Ca	80	4	A	9	1	0	0	0
Ca	90	4	A	10	1	0	0	0
Ca	100	4	A	11	1	0	0	0
Ca	0	5	A	1	1	35	18.7082869338697	350000000
Ca	10	5	A	2	1	110	33.166247903554	1100000000
Ca	20	5	A	3	1	120	34.6410161513775	1200000000
Ca	30	5	A	4	1	80	28.2842712474619	800000000
Ca	40	5	A	5	1	0	0	0
Ca	50	5	A	6	1	0	0	0
Ca	60	5	A	7	1	0	0	0
Ca	70	5	A	8	1	0	0	0
Ca	80	5	A	9	1	0	0	0
Ca	90	5	A	10	1	0	0	0
Ca	100	5	A	11	1	0	0	0
Ca	0	0	A	1	2	8	2.82842712474619	80000000
Ca	10	0	A	2	2	7	2.64575131106459	70000000
Ca	20	0	A	3	2	7	2.64575131106459	70000000
Ca	30	0	A	4	2	10	3.16227766016838	100000000
Ca	40	0	A	5	2	7	2.64575131106459	70000000
Ca	50	0	A	6	2	8	2.82842712474619	80000000
Ca	60	0	A	7	2	3.3	0.574456264653803	33000000
Ca	70	0	A	8	2	2.6	0.509901951359278	26000000
Ca	80	0	A	9	2	1.8	0.424264068711928	18000000
Ca	90	0	A	10	2	0.8	0.282842712474619	8000000
Ca	100	0	A	11	2	0	0	0
Ca	0	1	A	1	2	56	23.6643191323985	560000000
Ca	10	1	A	2	2	52	22.8035085019828	520000000
Ca	20	1	A	3	2	180	42.4264068711928	1800000000
Ca	30	1	A	4	2	0	0	0
Ca	40	1	A	5	2	0	0	0
Ca	50	1	A	6	2	0	0	0
Ca	60	1	A	7	2	0	0	0
Ca	70	1	A	8	2	0	0	0
Ca	80	1	A	9	2	0	0	0
Ca	90	1	A	10	2	0	0	0
Ca	100	1	A	11	2	0	0	0
Ca	0	2	A	1	2	30	17.3205080756888	300000000
Ca	10	2	A	2	2	90	30	900000000
Ca	20	2	A	3	2	130	36.0555127546399	1300000000
Ca	30	2	A	4	2	0	0	0
Ca	40	2	A	5	2	0	0	0
Ca	50	2	A	6	2	0	0	0
Ca	60	2	A	7	2	0	0	0
Ca	70	2	A	8	2	0	0	0
Ca	80	2	A	9	2	0	0	0
Ca	90	2	A	10	2	0	0	0
Ca	100	2	A	11	2	0	0	0
Ca	0	3	A	1	2	200	44.7213595499958	2000000000
Ca	10	3	A	2	2	110	33.166247903554	1100000000
Ca	20	3	A	3	2	90	30	900000000
Ca	30	3	A	4	2	0	0	0
Ca	40	3	A	5	2	0	0	0
Ca	50	3	A	6	2	0	0	0
Ca	60	3	A	7	2	0	0	0
Ca	70	3	A	8	2	0	0	0
Ca	80	3	A	9	2	0	0	0
Ca	90	3	A	10	2	0	0	0
Ca	100	3	A	11	2	0	0	0
Ca	0	4	A	1	2	40	20	400000000
Ca	10	4	A	2	2	60	24.4948974278318	600000000
Ca	20	4	A	3	2	80	28.2842712474619	800000000
Ca	30	4	A	4	2	0	0	0
Ca	40	4	A	5	2	0	0	0
Ca	50	4	A	6	2	0	0	0
Ca	60	4	A	7	2	0	0	0
Ca	70	4	A	8	2	0	0	0
Ca	80	4	A	9	2	0	0	0
Ca	90	4	A	10	2	0	0	0
Ca	100	4	A	11	2	0	0	0
Ca	0	5	A	1	2	35	18.7082869338697	350000000
Ca	10	5	A	2	2	90	30	900000000
Ca	20	5	A	3	2	90	30	900000000
Ca	30	5	A	4	2	0	0	0
Ca	40	5	A	5	2	0	0	0
Ca	50	5	A	6	2	0	0	0
Ca	60	5	A	7	2	0	0	0
Ca	70	5	A	8	2	0	0	0
Ca	80	5	A	9	2	0	0	0
Ca	90	5	A	10	2	0	0	0
Ca	100	5	A	11	2	0	0	0
Ca	0	0	A	1	3	13	3.60555127546399	130000000
Ca	10	0	A	2	3	14	3.74165738677394	140000000
Ca	20	0	A	3	3	5	2.23606797749979	50000000
Ca	30	0	A	4	3	10	3.16227766016838	100000000
Ca	40	0	A	5	3	9	3	90000000
Ca	50	0	A	6	3	9	3	90000000
Ca	60	0	A	7	3	5	2.23606797749979	50000000
Ca	70	0	A	8	3	4	0.632455532033676	40000000
Ca	80	0	A	9	3	1.5	0.387298334620742	15000000
Ca	90	0	A	10	3	1.0	0.316227766016838	10000000.0
Ca	100	0	A	11	3	0	0	0
Ca	0	1	A	1	3	70	26.4575131106459	700000000
Ca	10	1	A	2	3	100	31.6227766016838	1000000000
Ca	20	1	A	3	3	110	33.166247903554	1100000000
Ca	30	1	A	4	3	0	0	0
Ca	40	1	A	5	3	0	0	0
Ca	50	1	A	6	3	0	0	0
Ca	60	1	A	7	3	0	0	0
Ca	70	1	A	8	3	0	0	0
Ca	80	1	A	9	3	0	0	0
Ca	90	1	A	10	3	0	0	0
Ca	100	1	A	11	3	0	0	0
Ca	0	2	A	1	3	50	22.3606797749979	500000000
Ca	10	2	A	2	3	90	30	900000000
Ca	20	2	A	3	3	140	37.4165738677394	1400000000
Ca	30	2	A	4	3	0	0	0
Ca	40	2	A	5	3	0	0	0
Ca	50	2	A	6	3	0	0	0
Ca	60	2	A	7	3	0	0	0
Ca	70	2	A	8	3	0	0	0
Ca	80	2	A	9	3	0	0	0
Ca	90	2	A	10	3	0	0	0
Ca	100	2	A	11	3	0	0	0
Ca	0	3	A	1	3	80	28.2842712474619	800000000
Ca	10	3	A	2	3	20	4.47213595499958	200000000
Ca	20	3	A	3	3	20	4.47213595499958	200000000
Ca	30	3	A	4	3	0	0	0
Ca	40	3	A	5	3	0	0	0
Ca	50	3	A	6	3	0	0	0
Ca	60	3	A	7	3	0	0	0
Ca	70	3	A	8	3	0	0	0
Ca	80	3	A	9	3	0	0	0
Ca	90	3	A	10	3	0	0	0
Ca	100	3	A	11	3	0	0	0
Ca	0	4	A	1	3	70	26.4575131106459	700000000
Ca	10	4	A	2	3	50	22.3606797749979	500000000
Ca	20	4	A	3	3	100	31.6227766016838	1000000000
Ca	30	4	A	4	3	0	0	0
Ca	40	4	A	5	3	0	0	0
Ca	50	4	A	6	3	0	0	0
Ca	60	4	A	7	3	0	0	0
Ca	70	4	A	8	3	0	0	0
Ca	80	4	A	9	3	0	0	0
Ca	90	4	A	10	3	0	0	0
Ca	100	4	A	11	3	0	0	0
Ca	0	5	A	1	3	40	20	400000000
Ca	10	5	A	2	3	60	24.4948974278318	600000000
Ca	20	5	A	3	3	130	36.0555127546399	1300000000
Ca	30	5	A	4	3	0	0	0
Ca	40	5	A	5	3	0	0	0
Ca	50	5	A	6	3	0	0	0
Ca	60	5	A	7	3	0	0	0
Ca	70	5	A	8	3	0	0	0
Ca	80	5	A	9	3	0	0	0
Ca	90	5	A	10	3	0	0	0
Ca	100	5	A	11	3	0	0	0
Lp	0	0	A	1	1	0	0	0
Lp	10	0	A	2	1	1.7	0.412310562561766	17000000
Lp	20	0	A	3	1	3	1.73205080756888	30000000
Lp	30	0	A	4	1	4	2	40000000
Lp	40	0	A	5	1	7	2.64575131106459	70000000
Lp	50	0	A	6	1	6	2.44948974278318	60000000
Lp	60	0	A	7	1	6	2.44948974278318	60000000
Lp	70	0	A	8	1	4	2	40000000
Lp	80	0	A	9	1	12	3.46410161513775	120000000
Lp	90	0	A	10	1	10	3.16227766016838	100000000
Lp	100	0	A	11	1	7	2.64575131106459	70000000
Lp	0	1	A	1	1	0	0	0
Lp	10	1	A	2	1	2	1.4142135623731	20000000
Lp	20	1	A	3	1	4.5	0.670820393249937	45000000
Lp	30	1	A	4	1	2.2	0.469041575982343	22000000
Lp	40	1	A	5	1	43	6.557438524302	430000000
Lp	50	1	A	6	1	32	5.65685424949238	320000000
Lp	60	1	A	7	1	25	5	250000000
Lp	70	1	A	8	1	24	4.89897948556636	240000000
Lp	80	1	A	9	1	23	4.79583152331272	230000000
Lp	90	1	A	10	1	20	4.47213595499958	200000000
Lp	100	1	A	11	1	18	4.24264068711928	180000000
Lp	0	2	A	1	1	0.1	0.1	1000000
Lp	10	2	A	2	1	0.03	0.0173205080756888	300000
Lp	20	2	A	3	1	0.06	0.0244948974278318	600000
Lp	30	2	A	4	1	0.05	0.0223606797749979	500000
Lp	40	2	A	5	1	21	4.58257569495584	210000000
Lp	50	2	A	6	1	10	3.16227766016838	100000000
Lp	60	2	A	7	1	13	3.60555127546399	130000000
Lp	70	2	A	8	1	8	2.82842712474619	80000000
Lp	80	2	A	9	1	9	3	90000000
Lp	90	2	A	10	1	17	4.12310562561766	170000000
Lp	100	2	A	11	1	14	3.74165738677394	140000000
Lp	0	3	A	1	1	0.001	0.001	10000
Lp	10	3	A	2	1	0.001	0.001	10000
Lp	20	3	A	3	1	0.002	0.0014142135623731	20000
Lp	30	3	A	4	1	0.001	0.001	10000
Lp	40	3	A	5	1	17	4.12310562561766	170000000
Lp	50	3	A	6	1	21	4.58257569495584	210000000
Lp	60	3	A	7	1	21	4.58257569495584	210000000
Lp	70	3	A	8	1	23	4.79583152331272	230000000
Lp	80	3	A	9	1	13	3.60555127546399	130000000
Lp	90	3	A	10	1	20	4.47213595499958	200000000
Lp	100	3	A	11	1	10	3.16227766016838	100000000
Lp	0	4	A	1	1	0.016	0.004	160000
Lp	10	4	A	2	1	0.013	0.00360555127546399	130000
Lp	20	4	A	3	1	0.011	0.0033166247903554	110000
Lp	30	4	A	4	1	0.005	0.00223606797749979	50000
Lp	40	4	A	5	1	16	4	160000000
Lp	50	4	A	6	1	13	3.60555127546399	130000000
Lp	60	4	A	7	1	7	2.64575131106459	70000000
Lp	70	4	A	8	1	15	3.87298334620742	150000000
Lp	80	4	A	9	1	10	3.16227766016838	100000000
Lp	90	4	A	10	1	18	4.24264068711928	180000000
Lp	100	4	A	11	1	19	4.35889894354067	190000000
Lp	0	5	A	1	1	0.013	0.00360555127546399	130000
Lp	10	5	A	2	1	0.019	0.00435889894354067	190000
Lp	20	5	A	3	1	0.019	0.00435889894354067	190000
Lp	30	5	A	4	1	0.006	0.00244948974278318	60000
Lp	40	5	A	5	1	12	3.46410161513775	120000000
Lp	50	5	A	6	1	18	4.24264068711928	180000000
Lp	60	5	A	7	1	18	4.24264068711928	180000000
Lp	70	5	A	8	1	15	3.87298334620742	150000000
Lp	80	5	A	9	1	15	3.87298334620742	150000000
Lp	90	5	A	10	1	14	3.74165738677394	140000000
Lp	100	5	A	11	1	16	4	160000000
Lp	0	0	A	1	2	0	0	0
Lp	10	0	A	2	2	1.2	0.346410161513775	12000000
Lp	20	0	A	3	2	2.3	0.479583152331272	23000000
Lp	30	0	A	4	2	6	2.44948974278318	60000000
Lp	40	0	A	5	2	6	2.44948974278318	60000000
Lp	50	0	A	6	2	8	2.82842712474619	80000000
Lp	60	0	A	7	2	6	2.44948974278318	60000000
Lp	70	0	A	8	2	6	2.44948974278318	60000000
Lp	80	0	A	9	2	6	2.44948974278318	60000000
Lp	90	0	A	10	2	13	3.60555127546399	130000000
Lp	100	0	A	11	2	7	2.64575131106459	70000000
Lp	0	1	A	1	2	0	0	0
Lp	10	1	A	2	2	3.2	0.565685424949238	32000000
Lp	20	1	A	3	2	7	2.64575131106459	70000000
Lp	30	1	A	4	2	72	8.48528137423857	720000000
