"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"1","0","A12","R1","0.521960130207136","-5.33271683434617","0.977936856743343"
"2","0","A12","R2","0.54067586498096","-5.11761805777106","0.993433678901584"
"3","0","A12","R3","0.548741868531466","-5.33317527332293","0.985627248163097"
"4","0","B12","R1","0.527400795027907","-5.38045688844804","0.971934055574409"
"5","0","B12","R2","0.537381806428035","-5.19390105381064","0.987728588078112"
"6","0","B12","R3","0.513593882942596","-5.21608859654296","0.985526684176218"
"7","0","C12","R1","0.529061747969836","-5.33441848986642","0.981987131060476"
"8","0","C12","R2","0.548602845300697","-5.27719358786084","0.988252948852446"
"9","0","C12","R3","0.548320257401873","-5.36176789855645","0.975869700978516"
"10","0","D12","R1","0.524145230658996","-5.33327235679778","0.985964814677566"
"11","0","D12","R2","0.545852243905057","-5.25069887070999","0.984294157701743"
"12","0","D12","R3","0.533785095335186","-5.31728841382698","0.981140755166146"
"13","0","E12","R1","0.509740491461852","-5.30071471147485","0.986906464630458"
"14","0","E12","R2","0.524071045935369","-5.17717886318125","0.987139189202247"
"15","0","E12","R3","0.539099045586011","-5.32301542328996","0.989397964982082"
"16","0","F12","R1","0.485133700894788","-5.24756709095787","0.988373916151364"
"17","0","F12","R2","0.523115435592606","-5.14624696276087","0.991673611799296"
"18","0","F12","R3","0.534073716731954","-5.38109411345777","0.988800476602593"
"19","0","G12","R1","0.504528330213057","-5.2735052056014","0.985721647643988"
"20","0","G12","R2","0.593651720876626","-5.37728715084913","0.986919829179419"
"21","0","G12","R3","0.59909705512473","-5.56308351883254","0.988971186400112"
"22","0","H12","R1","0.500505724827569","-5.32087614638339","0.981079971359994"
"23","0","H12","R2","0.578931186593349","-5.32339938440364","0.993857498762221"
"24","0","H12","R3","0.542726680947199","-5.31858091627802","0.990826786562966"
