"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"1","0","A12","R1","0.455181621007843","-5.54492327073212","0.99565867963205"
"2","0","A12","R2","0.414691813522632","-5.59355980365965","0.997161023252665"
"3","0","A12","R3","0.448918128123402","-6.05140447556279","0.998057518584815"
"4","0","B12","R1","0.464158507998826","-5.59583182324045","0.995966278380118"
"5","0","B12","R2","0.403814666508276","-5.61876383759554","0.999305210005174"
"6","0","B12","R3","0.455529332599297","-6.09312174405856","0.998142207917799"
"7","0","C12","R1","0.458368351195035","-5.53086000198244","0.994715015170689"
"8","0","C12","R2","0.337015166109759","-5.05644045283536","0.999106546136516"
"9","0","C12","R3","0.472402318164662","-6.1608560287344","0.996959661448173"
"10","0","D12","R1","0.460920539360444","-5.57149571332254","0.996666151465403"
"11","0","D12","R2","0.412185161142391","-5.60184527011312","0.998449439686165"
"12","0","D12","R3","0.474127351904984","-6.17273234879242","0.997796053935361"
"13","0","E12","R1","0.412943853190395","-5.58017653834056","0.998236262649261"
"14","0","E12","R2","0.417681499895593","-5.66389335465597","0.998788381462444"
"15","0","E12","R3","0.419111605628302","-5.73825286008946","0.998657347814277"
"16","0","F12","R1","0.469241973615266","-5.60425303234312","0.996353596979952"
"17","0","F12","R2","0.370426415396866","-5.31839755595594","0.998982967653058"
"18","0","F12","R3","0.486538376734167","-6.2069967672439","0.997275879858495"
"19","0","G12","R1","0.400726520840526","-5.14412456920447","0.997679932567342"
"20","0","G12","R2","0.394569176484401","-5.44984355715002","0.998748505529137"
"21","0","G12","R3","0.41610252472891","-5.68919609304032","0.998534725745431"
"22","0","H12","R1","0.431716903909987","-5.38093181598977","0.997419181068445"
"23","0","H12","R2","0.396319566011536","-5.42995003052675","0.998290341269433"
"24","0","H12","R3","0.484473789836441","-6.26881726756868","0.995553992949527"
