"","Replicate","Species","Time_hr","Well","OD"
"1","R1","Ca",0,"A12",0.004899999
"2","R1","Ca",0.251305555555556,"A12",0.004899999
"3","R1","Ca",0.502611111111111,"A12",0.005900001
"4","R1","Ca",0.753944444444444,"A12",0.006599998
"5","R1","Ca",1.00527777777778,"A12",0.0076
"6","R1","Ca",1.25658333333333,"A12",0.008100001
"7","R1","Ca",1.50791666666667,"A12",0.00850000000000001
"8","R1","Ca",1.75922222222222,"A12",0.0107
"9","R1","Ca",2.01055555555556,"A12",0.012699997
"10","R1","Ca",2.26188888888889,"A12",0.016699998
"11","R1","Ca",2.51319444444444,"A12",0.018300002
"12","R1","Ca",2.76452777777778,"A12",0.022200001
"13","R1","Ca",3.01583333333333,"A12",0.025499998
"14","R1","Ca",3.26716666666667,"A12",0.027799999
"15","R1","Ca",3.5185,"A12",0.032099998
"16","R1","Ca",3.76980555555556,"A12",0.0349
"17","R1","Ca",4.02113888888889,"A12",0.0384
"18","R1","Ca",4.27244444444444,"A12",0.042399993
"19","R1","Ca",4.52377777777778,"A12",0.047600007
"20","R1","Ca",4.77508333333333,"A12",0.057599997
"21","R1","Ca",5.02641666666667,"A12",0.068500003
"22","R1","Ca",5.27772222222222,"A12",0.078200003
"23","R1","Ca",5.52905555555555,"A12",0.089600002
"24","R1","Ca",5.78036111111111,"A12",0.101599997
"25","R1","Ca",6.03169444444444,"A12",0.114599993
"26","R1","Ca",6.283,"A12",0.126899993
"27","R1","Ca",6.53433333333333,"A12",0.136799997
"28","R1","Ca",6.78563888888889,"A12",0.1493
"29","R1","Ca",7.03697222222222,"A12",0.159499994
"30","R1","Ca",7.28827777777778,"A12",0.171899995
"31","R1","Ca",7.53961111111111,"A12",0.182999989
"32","R1","Ca",7.79091666666667,"A12",0.191299995
"33","R1","Ca",8.04225,"A12",0.205299994
"34","R1","Ca",8.29358333333333,"A12",0.208499989
"35","R1","Ca",8.54488888888889,"A12",0.221999994
"36","R1","Ca",8.79622222222222,"A12",0.23849999
"37","R1","Ca",9.04752777777778,"A12",0.248899987
"38","R1","Ca",9.29886111111111,"A12",0.25609999
"39","R1","Ca",9.55016666666667,"A12",0.264100006
"40","R1","Ca",9.8015,"A12",0.276799997
"41","R1","Ca",10.0528055555556,"A12",0.286499998
"42","R1","Ca",10.3041388888889,"A12",0.310499987
"43","R1","Ca",10.5554444444444,"A12",0.364599993
"44","R1","Ca",10.8067777777778,"A12",0.401399991
"45","R1","Ca",11.0580833333333,"A12",0.428900024
"46","R1","Ca",11.3094166666667,"A12",0.406900009
"47","R1","Ca",11.5607222222222,"A12",0.39990001
"48","R1","Ca",11.8120555555556,"A12",0.399399987
"49","R1","Ca",12.0633611111111,"A12",0.399700006
"50","R1","Ca",12.3146944444444,"A12",0.430300018
"51","R1","Ca",12.566,"A12",0.429900011
"52","R1","Ca",12.8173333333333,"A12",0.455599984
"53","R1","Ca",13.0686388888889,"A12",0.467000028
"54","R1","Ca",13.3199722222222,"A12",0.491599998
"55","R1","Ca",13.5712777777778,"A12",0.504300019
"56","R1","Ca",13.8226111111111,"A12",0.50640001
"57","R1","Ca",14.0739166666667,"A12",0.53429999
"58","R1","Ca",14.32525,"A12",0.541799983
"59","R1","Ca",14.5765555555556,"A12",0.567599973
"60","R1","Ca",14.8278888888889,"A12",0.579700014
"61","R1","Ca",15.0791944444444,"A12",0.605200013
"62","R1","Ca",15.3305277777778,"A12",0.611300012
"63","R1","Ca",15.5818333333333,"A12",0.632500013
"64","R1","Ca",15.8331666666667,"A12",0.649400016
"65","R1","Ca",16.0845,"A12",0.663400015
"66","R1","Ca",16.3358055555556,"A12",0.675700029
"67","R1","Ca",16.5871111111111,"A12",0.686800024
"68","R1","Ca",16.8384444444444,"A12",0.699600002
"69","R1","Ca",17.08975,"A12",0.71150001
"70","R1","Ca",17.3410833333333,"A12",0.719400009
"71","R1","Ca",17.5923888888889,"A12",0.730799994
"72","R1","Ca",17.8437222222222,"A12",0.739900013
