"","Antibiotic","Species","R1_MI50","R1_RelativeGrowthMI50","R2_MI50","R2_RelativeGrowthMI50","R3_MI50","R3_RelativeGrowthMI50","AverageIC50","StErrIC50"
"1","Ampi","Ca",0.09765625,0.306120251271313,0.09765625,0.208621073735799,0.09765625,0.17044597516215,0.09765625,0
"2","Carb","Ca",3.125,0.418115465151062,3.125,0.371574961015816,1.5625,0.454321484237518,2.60416666666667,0.520833333333333
"3","Cipro","Ca",0.1953125,0.227723601555489,0.1953125,0.185787480507908,0.09765625,0.285182764342099,0.162760416666667,0.0325520833333333
"4","Chl","Ca",3.125,0.277690696978762,3.125,0.374359545555803,3.125,0.350847201970939,3.125,0
"5","Ery","Ca",1.5625,0.36374513909662,0.78125,0.487302294497661,0.390625,0.454422042334959,0.911458333333333,0.344498868628202
"6","Gent","Ca",0.0244140625,0.366521088842357,0.0244140625,0.311650701715304,0.0244140625,0.307908894363719,0.0244140625,0
"7","Kan","Ca",0.0244140625,0.461573437032605,0.0244140625,0.325239474270439,0.0244140625,0.295339132183619,0.0244140625,0
"8","Tetra","Ca",0.390625,0.409404726293748,0.390625,0.298952996212965,0.390625,0.202222333953442,0.390625,0
"9","Ampi","Lp",0.78125,0.405967450271248,0.78125,0.483015461008915,0.78125,0.344196951934349,0.78125,0
"10","Carb","Lp",100,0.318264014466546,100,0.464055975623519,50,0.463305978898007,83.3333333333333,16.6666666666667
"11","Cipro","Lp",100,0.216094032549729,100,0.28439228078095,100,0.217584994138335,100,0
"12","Chl","Lp",12.5,0.257685352622061,6.25,0.392732197268931,6.25,0.402344665885111,8.33333333333333,2.08333333333333
"13","Ery","Lp",0.78125,0.267631103074141,0.78125,0.191400519128767,0.78125,0.220398593200469,0.78125,0
"14","Gent","Lp",0.09765625,0.295660036166365,0.048828125,0.433359665951924,0.09765625,0.490504103165299,0.0813802083333333,0.0162760416666667
"15","Kan","Lp",0.390625,0.396021699819168,0.390625,0.266335628032953,0.390625,0.496131301289566,0.390625,0
"16","Tetra","Lp",50,0.337251356238698,25,0.490238122108114,25,0.472684642438453,33.3333333333333,8.33333333333333
