Well	Concentration-ugmL	Species	Replicate1_FinalOD	Replicate2	Replicate3	Blank_Replicate1_FinalOD	FinalOD_NoAntib_R1	RelativeGrowth_R1	Blank_Replicate2_FinalOD	FinalOD_NoAntib_R2	RelativeGrowth_R2	Blank_Replicate3_FinalOD	FinalOD_NoAntib_R3	RelativeGrowth_R3	Antibiotic
A1	100	Ca	0.0938	0.0982	0.0993	0.0098	1.0446875	0.00938079569249177	0.0142	0.8978	0.0158164401871241	0.0153	0.99445	0.0153853889084419	Ampi
A2	50	Ca	0.097	0.0967	0.0956	0.013	1.0446875	0.0124439126533054	0.0127	0.8978	0.0141456894631321	0.0116	0.99445	0.0116647393031324	Ampi
A3	25	Ca	0.2016	0.1766	0.1054	0.1176	1.0446875	0.112569548309901	0.0926	0.8978	0.103141011361105	0.0214	0.99445	0.0215194328523304	Ampi
A4	12.5	Ca	0.3799	0.3008	0.2475	0.2959	1.0446875	0.283242596470236	0.2168	0.8978	0.241479171307641	0.1635	0.99445	0.164412489315702	Ampi
A5	6.25	Ca	0.4494	0.3082	0.4079	0.3654	1.0446875	0.349769667962908	0.2242	0.8978	0.249721541546001	0.3239	0.99445	0.32570767761074	Ampi
A6	3.125	Ca	0.379	0.279	0.3654	0.295	1.0446875	0.282381094825007	0.195	0.8978	0.217197594118957	0.2814	0.99445	0.282970486198401	Ampi
A7	1.5625	Ca	0.2284	0.1655	0.2206	0.1444	1.0446875	0.138223152856716	0.0815	0.8978	0.0907774560035643	0.1366	0.99445	0.137362361104128	Ampi
A8	0.78125	Ca	0.2231	0.1994	0.1491	0.1391	1.0446875	0.133149865390368	0.1154	0.8978	0.128536422365783	0.0651	0.99445	0.0654633214339585	Ampi
A9	0.390625	Ca	0.3004	0.1196	0.2275	0.2164	1.0446875	0.207143284475022	0.0356	0.8978	0.0396524838494097	0.1435	0.99445	0.144300869827543	Ampi
A10	0.1953125	Ca	0.3983	0.1469	0.2513	0.3143	1.0446875	0.300855518994915	0.0629	0.8978	0.0700601470260637	0.1673	0.99445	0.168233697018452	Ampi
