Day,Species,Counts,Dilution,Antibiotic,Replicate,Initial
0,Ca,2,5,Amp,1,Ca
0,Ca,5,5,Amp,2,Ca
0,Ca,2,5,Amp,3,Ca
0,Ca,18,3,Amp,1,Lp
0,Ca,20,3,Amp,2,Lp
0,Ca,14,3,Amp,3,Lp
0,Lp,15,3,Amp,1,Ca
0,Lp,14,3,Amp,2,Ca
0,Lp,15,3,Amp,3,Ca
0,Lp,33,4,Amp,1,Lp
0,Lp,34,4,Amp,2,Lp
0,Lp,27,4,Amp,3,Lp
1,Ca,3,6,Amp,1,Ca
1,Ca,4,6,Amp,2,Ca
1,Ca,3,6,Amp,3,Ca
1,Ca,0,1,Amp,1,Lp
1,Ca,0,1,Amp,2,Lp
1,Ca,0,1,Amp,3,Lp
1,Lp,4,4,Amp,1,Ca
1,Lp,2,4,Amp,2,Ca
1,Lp,4,4,Amp,3,Ca
1,Lp,15,5,Amp,1,Lp
1,Lp,20,5,Amp,2,Lp
1,Lp,23,5,Amp,3,Lp
2,Ca,3,6,Amp,1,Ca
2,Ca,1,6,Amp,2,Ca
2,Ca,3.3,6,Amp,3,Ca
2,Ca,0,6,Amp,1,Lp
2,Ca,0,6,Amp,2,Lp
2,Ca,0,6,Amp,3,Lp
2,Lp,20,2,Amp,1,Ca
2,Lp,15,2,Amp,2,Ca
2,Lp,20,2,Amp,3,Ca
2,Lp,12,5,Amp,1,Lp
2,Lp,17,5,Amp,2,Lp
2,Lp,13,5,Amp,3,Lp
3,Ca,11,6,Amp,1,Ca
3,Ca,10,6,Amp,2,Ca
3,Ca,10,6,Amp,3,Ca
3,Ca,0,6,Amp,1,Lp
3,Ca,0,6,Amp,2,Lp
3,Ca,0,6,Amp,3,Lp
3,Lp,5,2,Amp,1,Ca
3,Lp,3,2,Amp,2,Ca
3,Lp,5,2,Amp,3,Ca
3,Lp,19,5,Amp,1,Lp
3,Lp,18,5,Amp,2,Lp
3,Lp,16,5,Amp,3,Lp
4,Ca,3,3,Amp,1,Ca
4,Ca,15,3,Amp,2,Ca
4,Ca,5,3,Amp,3,Ca
4,Ca,3,2,Amp,1,Lp
4,Ca,3,2,Amp,2,Lp
4,Ca,4,2,Amp,3,Lp
4,Lp,25,1,Amp,1,Ca
4,Lp,22,1,Amp,2,Ca
4,Lp,20,1,Amp,3,Ca
4,Lp,0,1,Amp,1,Lp
4,Lp,0,1,Amp,2,Lp
4,Lp,0,1,Amp,3,Lp
5,Ca,7,3,Amp,1,Ca
5,Ca,220,3,Amp,2,Ca
5,Ca,24,3,Amp,3,Ca
5,Ca,7,2,Amp,1,Lp
5,Ca,5,2,Amp,2,Lp
5,Ca,9,2,Amp,3,Lp
5,Lp,14,5,Amp,1,Ca
5,Lp,7,5,Amp,2,Ca
5,Lp,3,5,Amp,3,Ca
5,Lp,14,4,Amp,1,Lp
5,Lp,13,4,Amp,2,Lp
5,Lp,14,4,Amp,3,Lp
6,Ca,0,6,Amp,1,Ca
6,Ca,0,6,Amp,2,Ca
6,Ca,0,6,Amp,3,Ca
6,Ca,0,6,Amp,1,Lp
6,Ca,0,6,Amp,2,Lp
6,Ca,0,6,Amp,3,Lp
6,Lp,22,5,Amp,1,Ca
6,Lp,30,5,Amp,2,Ca
6,Lp,19,5,Amp,3,Ca
6,Lp,18,5,Amp,1,Lp
6,Lp,17,5,Amp,2,Lp
6,Lp,19,5,Amp,3,Lp
7,Ca,0,6,Amp,1,Ca
7,Ca,0,6,Amp,2,Ca
7,Ca,0,6,Amp,3,Ca
7,Ca,0,6,Amp,1,Lp
7,Ca,0,6,Amp,2,Lp
7,Ca,0,6,Amp,3,Lp
7,Lp,12,5,Amp,1,Ca
7,Lp,14,5,Amp,2,Ca
7,Lp,15,5,Amp,3,Ca
7,Lp,17,5,Amp,1,Lp
7,Lp,14,5,Amp,2,Lp
7,Lp,18,5,Amp,3,Lp
8,Ca,0,5,Amp,1,Ca
8,Ca,0,5,Amp,2,Ca
8,Ca,0,5,Amp,3,Ca
8,Ca,0,5,Amp,1,Lp
8,Ca,0,5,Amp,2,Lp
8,Ca,0,5,Amp,3,Lp
8,Lp,12,5,Amp,1,Ca
8,Lp,20,5,Amp,2,Ca
8,Lp,17,5,Amp,3,Ca
8,Lp,16,5,Amp,1,Lp
8,Lp,16,5,Amp,2,Lp
8,Lp,9,5,Amp,3,Lp
0,Ca,2,5,Car,1,Ca
0,Ca,5,5,Car,2,Ca
0,Ca,2,5,Car,3,Ca
0,Ca,18,3,Car,1,Lp
0,Ca,20,3,Car,2,Lp
0,Ca,14,3,Car,3,Lp
0,Lp,15,3,Car,1,Ca
0,Lp,14,3,Car,2,Ca
0,Lp,15,3,Car,3,Ca
0,Lp,33,4,Car,1,Lp
0,Lp,34,4,Car,2,Lp
0,Lp,27,4,Car,3,Lp
1,Ca,4,6,Car,1,Ca
1,Ca,2,6,Car,2,Ca
1,Ca,4,6,Car,3,Ca
1,Ca,0,1,Car,1,Lp
1,Ca,0,1,Car,2,Lp
1,Ca,0,1,Car,3,Lp
1,Lp,6,4,Car,1,Ca
1,Lp,4,4,Car,2,Ca
1,Lp,6,4,Car,3,Ca
1,Lp,15,5,Car,1,Lp
1,Lp,22,5,Car,2,Lp
1,Lp,28,5,Car,3,Lp
2,Ca,2,6,Car,1,Ca
2,Ca,4,6,Car,2,Ca
2,Ca,2.4,6,Car,3,Ca
2,Ca,0,6,Car,1,Lp
2,Ca,0,6,Car,2,Lp
2,Ca,0,6,Car,3,Lp
2,Lp,12,2,Car,1,Ca
2,Lp,14,2,Car,2,Ca
2,Lp,12,2,Car,3,Ca
2,Lp,14,5,Car,1,Lp
2,Lp,14,5,Car,2,Lp
2,Lp,17,5,Car,3,Lp
3,Ca,14,6,Car,1,Ca
3,Ca,9,6,Car,2,Ca
3,Ca,6,6,Car,3,Ca
3,Ca,0,6,Car,1,Lp
3,Ca,0,6,Car,2,Lp
3,Ca,0,6,Car,3,Lp
3,Lp,2,2,Car,1,Ca
3,Lp,3,2,Car,2,Ca
3,Lp,2,2,Car,3,Ca
3,Lp,15,5,Car,1,Lp
3,Lp,16,5,Car,2,Lp
3,Lp,19,5,Car,3,Lp
4,Ca,12,3,Car,1,Ca
4,Ca,13,3,Car,2,Ca
4,Ca,11,3,Car,3,Ca
4,Ca,0,5,Car,1,Lp
4,Ca,0,5,Car,2,Lp
4,Ca,0,5,Car,3,Lp
4,Lp,35,1,Car,1,Ca
4,Lp,19,1,Car,2,Ca
4,Lp,25,1,Car,3,Ca
4,Lp,10,2,Car,1,Lp
4,Lp,13,2,Car,2,Lp
4,Lp,10,2,Car,3,Lp
5,Ca,30,4,Car,1,Ca
5,Ca,0.38,4,Car,2,Ca
5,Ca,25,4,Car,3,Ca
5,Ca,1,1,Car,1,Lp
5,Ca,1,1,Car,2,Lp
5,Ca,1,1,Car,3,Lp
5,Lp,31,5,Car,1,Ca
5,Lp,9,5,Car,2,Ca
5,Lp,35,5,Car,3,Ca
5,Lp,16,5,Car,1,Lp
5,Lp,15,5,Car,2,Lp
5,Lp,20,5,Car,3,Lp
6,Ca,0,6,Car,1,Ca
6,Ca,0,6,Car,2,Ca
6,Ca,0,6,Car,3,Ca
6,Ca,0,6,Car,1,Lp
6,Ca,0,6,Car,2,Lp
6,Ca,0,6,Car,3,Lp
