Day	Initial	Species	Counts1	Counts2	Counts3	Dilution
4	Ca	Ca	0.5	20	8	4
4	Ca	Lp	15	12	20	1
4	Lp	Ca	11	7	0	2
4	Lp	Lp	60	15	40	3
5	Ca	Ca	1	8	0	3
5	Ca	Lp	20	32	19	5
5	Lp	Ca	5	0.2	3	3
5	Lp	Lp	10	11	11	5
6	Ca	Ca	0	0	0	3
6	Ca	Lp	12	13	21	5
6	Lp	Ca	0	0	0	3
6	Lp	Lp	13	12	9	5
7	Ca	Ca	0	0	0	3
7	Ca	Lp	9	14	12	5
7	Lp	Ca	0	0	0	3
7	Lp	Lp	11	7	16	5
3	Ca	Ca	11	13	8	6
3	Ca	Lp	1	3	2	2
3	Lp	Ca	0	0	0	3
3	Lp	Lp	13	9	6	5
2	Ca	Ca	7	12	7	6
2	Ca	Lp	1	3	2	2
2	Lp	Ca	0	0	0	3
2	Lp	Lp	10	8	15	5
1	Ca	Ca	8	11	6	6
1	Ca	Lp	5	3	9	2
1	Lp	Ca	0	0	0	3
1	Lp	Lp	13	8	17	5
0	Ca	Ca	12	5	14	5
0	Ca	Lp	2	5	1.2	4
0	Lp	Ca	5	8	18	4
0	Lp	Lp	6	13	10	5
