Concentration	Species	AverageGrowthRate	StErr
100	Ca	0.0243491708268975	0.0628245475725124
50	Ca	0.140010432367620	0.023017143091761
25	Ca	0.126445846410582	0.012205458743925
12.5	Ca	0.176212948678751	0.0471391935753603
6.25	Ca	0.183690886524229	0.036830726570996
3.125	Ca	0.178891398772847	0.021263266750463
1.5625	Ca	0.276681595157387	0.005150118384053
0.78125	Ca	0.436261675752432	0.00934225198917716
0.390625	Ca	0.463961344744771	0.026278460317805
0.1953125	Ca	0.498683528327853	0.0132918618211608
0.09765625	Ca	0.503095095873119	0.018279972801698
0	Ca	0.507180551958542	0.017809432392274
100	Lp	0.104393184	0.007476021
50	Lp	0.114413236333333	0.0439437453874972
25	Lp	0.109793815	0.011178335
12.5	Lp	0.102071996	0.006643831
6.25	Lp	0.198714328333333	0.00931122462378772
3.125	Lp	0.329698319	0.030051188
1.5625	Lp	0.321519560	0.028341192
0.78125	Lp	0.384631186	0.021917605
0.390625	Lp	0.423794811	0.035875056
0.1953125	Lp	0.434410623	0.025395167
0.09765625	Lp	0.445045223	0.043580885
0	Lp	0.446912799	0.0233900657815163
