Day,Species,Counts,Dilution,Antibiotic,Replicate,Initial
0,Ca,7,5,Amp,1,Ca
0,Ca,2,5,Amp,2,Ca
0,Ca,5,5,Amp,3,Ca
0,Ca,18,3,Amp,1,Lp
0,Ca,20,3,Amp,2,Lp
0,Ca,14,3,Amp,3,Lp
0,Lp,15,3,Amp,1,Ca
0,Lp,15,3,Amp,2,Ca
0,Lp,14,3,Amp,3,Ca
0,Lp,33,4,Amp,1,Lp
0,Lp,34,4,Amp,2,Lp
0,Lp,27,4,Amp,3,Lp
0,Ca,7,5,Car,1,Ca
0,Ca,2,5,Car,2,Ca
0,Ca,5,5,Car,3,Ca
0,Ca,18,3,Car,1,Lp
0,Ca,20,3,Car,2,Lp
0,Ca,14,3,Car,3,Lp
0,Lp,15,3,Car,1,Ca
0,Lp,15,3,Car,2,Ca
0,Lp,14,3,Car,3,Ca
0,Lp,33,4,Car,1,Lp
0,Lp,34,4,Car,2,Lp
0,Lp,27,4,Car,3,Lp
0,Ca,7,5,Chl,1,Ca
0,Ca,2,5,Chl,2,Ca
0,Ca,5,5,Chl,3,Ca
0,Ca,18,3,Chl,1,Lp
0,Ca,20,3,Chl,2,Lp
0,Ca,14,3,Chl,3,Lp
0,Lp,15,3,Chl,1,Ca
0,Lp,15,3,Chl,2,Ca
0,Lp,14,3,Chl,3,Ca
0,Lp,33,4,Chl,1,Lp
0,Lp,34,4,Chl,2,Lp
0,Lp,27,4,Chl,3,Lp
0,Ca,7,5,Cip,1,Ca
0,Ca,2,5,Cip,2,Ca
0,Ca,5,5,Cip,3,Ca
0,Ca,18,3,Cip,1,Lp
0,Ca,20,3,Cip,2,Lp
0,Ca,14,3,Cip,3,Lp
0,Lp,15,3,Cip,1,Ca
0,Lp,15,3,Cip,2,Ca
0,Lp,14,3,Cip,3,Ca
0,Lp,33,4,Cip,1,Lp
0,Lp,34,4,Cip,2,Lp
0,Lp,27,4,Cip,3,Lp
0,Ca,7,5,Gent,1,Ca
0,Ca,2,5,Gent,2,Ca
0,Ca,5,5,Gent,3,Ca
0,Ca,18,3,Gent,1,Lp
0,Ca,20,3,Gent,2,Lp
0,Ca,14,3,Gent,3,Lp
0,Lp,15,3,Gent,1,Ca
0,Lp,15,3,Gent,2,Ca
0,Lp,14,3,Gent,3,Ca
0,Lp,33,4,Gent,1,Lp
0,Lp,34,4,Gent,2,Lp
0,Lp,27,4,Gent,3,Lp
0,Ca,7,5,Kan,1,Ca
0,Ca,2,5,Kan,2,Ca
0,Ca,5,5,Kan,3,Ca
0,Ca,18,3,Kan,1,Lp
0,Ca,20,3,Kan,2,Lp
0,Ca,14,3,Kan,3,Lp
0,Lp,15,3,Kan,1,Ca
0,Lp,15,3,Kan,2,Ca
0,Lp,14,3,Kan,3,Ca
0,Lp,33,4,Kan,1,Lp
0,Lp,34,4,Kan,2,Lp
0,Lp,27,4,Kan,3,Lp
0,Ca,7,5,Tet,1,Ca
0,Ca,2,5,Tet,2,Ca
0,Ca,5,5,Tet,3,Ca
0,Ca,18,3,Tet,1,Lp
0,Ca,20,3,Tet,2,Lp
0,Ca,14,3,Tet,3,Lp
0,Lp,15,3,Tet,1,Ca
0,Lp,15,3,Tet,2,Ca
0,Lp,14,3,Tet,3,Ca
0,Lp,33,4,Tet,1,Lp
0,Lp,34,4,Tet,2,Lp
0,Lp,27,4,Tet,3,Lp
0,Ca,10,5,Ery,1,Ca
0,Lp,9,3,Ery,1,Ca
0,Ca,8,4,Ery,1,Lp
0,Lp,12,5,Ery,1,Lp
0,Ca,12,5,Ery,2,Ca
0,Lp,18,3,Ery,2,Ca
0,Ca,4,4,Ery,2,Lp
0,Lp,15,5,Ery,2,Lp
0,Ca,9,5,Ery,3,Ca
0,Lp,35,3,Ery,3,Ca
0,Ca,3,4,Ery,3,Lp
0,Lp,8,5,Ery,3,Lp
1,Ca,5,6,Amp,1,Ca
1,Ca,3,6,Amp,2,Ca
1,Ca,4,6,Amp,3,Ca
1,Ca,0,1,Amp,1,Lp
1,Ca,0,1,Amp,2,Lp
1,Ca,0,1,Amp,3,Lp
1,Lp,5,4,Amp,1,Ca
1,Lp,4,4,Amp,2,Ca
1,Lp,4,4,Amp,3,Ca
1,Lp,15,5,Amp,1,Lp
1,Lp,20,5,Amp,2,Lp
1,Lp,23,5,Amp,3,Lp
1,Ca,7,6,Car,1,Ca
1,Ca,4,6,Car,2,Ca
1,Ca,2,6,Car,3,Ca
1,Ca,0,1,Car,1,Lp
1,Ca,0,1,Car,2,Lp
1,Ca,0,1,Car,3,Lp
1,Lp,7,4,Car,1,Ca
1,Lp,6,4,Car,2,Ca
1,Lp,4,4,Car,3,Ca
1,Lp,15,5,Car,1,Lp
1,Lp,22,5,Car,2,Lp
1,Lp,28,5,Car,3,Lp
1,Ca,5,6,Chl,1,Ca
