"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"1","col_conc","A1","R1","0","0","0"
"2","col_conc","A1","R2","0","0","0"
"3","col_conc","A1","R3","0","0","0"
"4","col_conc","A2","R1","0","0","0"
"5","col_conc","A2","R2","0","0","0"
"6","col_conc","A2","R3","0","0","0"
"7","col_conc","A3","R1","0","0","0"
"8","col_conc","A3","R2","0","0","0"
"9","col_conc","A3","R3","0","0","0"
"10","col_conc","A4","R1","0","0","0"
"11","col_conc","A4","R2","0","0","0"
"12","col_conc","A4","R3","0","0","0"
"13","col_conc","A5","R1","0.0164576762744675","-3.99298573356687","0.00723573788767131"
"14","col_conc","A5","R2","0","0","0"
"15","col_conc","A5","R3","0","0","0"
"16","col_conc","A6","R1","0.10930664591305","-5.22776692058732","0.218907537839332"
"17","col_conc","A6","R2","0","0","0"
"18","col_conc","A6","R3","0","0","0"
"19","col_conc","A7","R1","0","0","0"
"20","col_conc","A7","R2","0","0","0"
"21","col_conc","A7","R3","0","0","0"
"22","col_conc","A8","R1","0","0","0"
"23","col_conc","A8","R2","0.140265240908706","-4.25277889270577","0.718522425188911"
"24","col_conc","A8","R3","0.109929822147972","-4.07262643264219","0.632014672008201"
"25","col_conc","A9","R1","0.136028442966157","-4.17239789370292","0.586671066115921"
"26","col_conc","A9","R2","0.105456988976497","-4.03542231898867","0.506972047290601"
"27","col_conc","A9","R3","0.445130470063071","-5.10678725729516","0.962514109618695"
"28","col_conc","A10","R1","0.516997544553986","-5.36879477645777","0.974810573079191"
"29","col_conc","A10","R2","0.553151120903726","-5.29463515305669","0.984792563719489"
"30","col_conc","A10","R3","0.548727251639816","-5.3540141909159","0.982515313383788"
"31","col_conc","A11","R1","0.542285461323459","-5.44568122753819","0.975453338330164"
"32","col_conc","A11","R2","0.545066128416821","-5.26104132893955","0.981811794611992"
"33","col_conc","A11","R3","0.560493795056007","-5.33954735373953","0.987571039843233"
"34","col_conc","A12","R1","0.521960130207136","-5.33271683434617","0.977936856743343"
"35","col_conc","A12","R2","0.54067586498096","-5.11761805777106","0.993433678901584"
"36","col_conc","A12","R3","0.548741868531466","-5.33317527332293","0.985627248163097"
"37","col_conc","B1","R1","0","0","0"
"38","col_conc","B1","R2","0","0","0"
"39","col_conc","B1","R3","0","0","0"
"40","col_conc","B2","R1","0.051670080463378","-4.51074533202019","0.134311942209566"
"41","col_conc","B2","R2","0","0","0"
"42","col_conc","B2","R3","0","0","0"
"43","col_conc","B3","R1","0","0","0"
"44","col_conc","B3","R2","0","0","0"
"45","col_conc","B3","R3","0","0","0"
"46","col_conc","B4","R1","0.251735057135348","-4.82314733340234","0.957548971264503"
"47","col_conc","B4","R2","0.331651875261327","-4.82327893789811","0.948016432409916"
"48","col_conc","B4","R3","0.199587310371578","-4.50992268582691","0.844228342504799"
"49","col_conc","B5","R1","0.445600881137605","-5.2692179422524","0.977833657904426"
"50","col_conc","B5","R2","0.509557204168108","-5.22500883175365","0.98308628425883"
"51","col_conc","B5","R3","0.559260807175249","-5.43219141581218","0.989323474488475"
"52","col_conc","B6","R1","0.504787497089371","-5.35644518741458","0.984139583812524"
"53","col_conc","B6","R2","0.540117108206208","-5.18581492297624","0.99589697567393"
"54","col_conc","B6","R3","0.529107701427857","-5.33429198901989","0.986997195265588"
"55","col_conc","B7","R1","0.499046975029283","-5.2859688834746","0.981184932835187"
"56","col_conc","B7","R2","0.509089604117547","-5.04319993395673","0.996940328466788"
"57","col_conc","B7","R3","0.527944395092841","-5.35698465573277","0.982979232054864"
"58","col_conc","B8","R1","0.506190484330306","-5.34332144731655","0.978251216847166"
"59","col_conc","B8","R2","0.496907691859299","-5.06129932761157","0.989792150303946"
"60","col_conc","B8","R3","0.502144984596752","-5.23012482269991","0.987143928665293"
"61","col_conc","B9","R1","0.40895157117599","-4.86074112138825","0.986703418020898"
"62","col_conc","B9","R2","0.529369269890887","-5.2414153852666","0.982975398763452"
"63","col_conc","B9","R3","0.533743591104562","-5.32654090018702","0.985261026946063"
