Date	Day	Initial	Species	Strength	Counts1	Counts2	Counts3	Dilution
30	1	Ca	Ca	1.6	7	4	3	6
30	1	Ca	Lp	1.6	3	5	1	4
30	1	Lp	Ca	1.6	0	1	0	2
30	1	Lp	Lp	1.6	12	15	9	5
29	0	Ca	Ca	1.6	10	12	9	5
29	0	Ca	Lp	1.6	9	18	35	3
29	0	Lp	Ca	1.6	8	4	3	4
29	0	Lp	Lp	1.6	12	15	8	5
1	2	Ca	Ca	1.6	9	3	2	6
1	2	Ca	Lp	1.6	50	30	42	2
1	2	Lp	Ca	1.6	0	0	0	3
1	2	Lp	Lp	1.6	30	35	15	5
1	2	Ca	Ca	3.1	4	9	7	6
1	2	Ca	Lp	3.1	35	45	50	2
1	2	Lp	Ca	3.1	0	0	0	3
1	2	Lp	Lp	3.1	35	32	20	5
1	2	Ca	Ca	6.4	6	8	14	6
1	2	Ca	Lp	6.4	45	40	38	2
1	2	Lp	Ca	6.4	0	0	0	3
1	2	Lp	Lp	6.4	16	28	32	5
2	3	Ca	Ca	1.6	14	11	18	5
2	3	Ca	Lp	1.6	45	48	25	2
2	3	Lp	Ca	1.6	0	0	0	2
2	3	Lp	Lp	1.6	11	21	10	5
2	3	Ca	Ca	3.1	30	45	50	4
2	3	Ca	Lp	3.1	40	50	32	2
2	3	Lp	Ca	3.1	12	16	28	2
2	3	Lp	Lp	3.1	31	40	41	4
2	3	Ca	Ca	6.4	12	5	22	4
2	3	Ca	Lp	6.4	5	7	2	3
2	3	Lp	Ca	6.4	16	9	8	3
2	3	Lp	Lp	6.4	17	12	9	3
3	4	Ca	Ca	1.6	4	3	10	6
3	4	Ca	Lp	1.6	25	19	17	3
3	4	Lp	Ca	1.6	0	0	0	3
3	4	Lp	Lp	1.6	25	22	32	5
3	4	Ca	Ca	3.1	5	5	4	6
3	4	Ca	Lp	3.1	6	12	9	3
3	4	Lp	Ca	3.1	0	0	0	3
3	4	Lp	Lp	3.1	5	6	5	6
3	4	Ca	Ca	6.4	5	2	5	6
3	4	Ca	Lp	6.4	5	6	4	4
3	4	Lp	Ca	6.4	8	9	6	6
3	4	Lp	Lp	6.4	11	18	13	5
4	5	Ca	Ca	1.6	8	4	5	6
4	5	Ca	Lp	1.6	2	6	11	3
4	5	Lp	Ca	1.6	0	0	0	3
4	5	Lp	Lp	1.6	48	35	42	5
4	5	Ca	Ca	3.1	7	4	7	6
4	5	Ca	Lp	3.1	7	5	5	3
4	5	Lp	Ca	3.1	0	0	0	3
4	5	Lp	Lp	3.1	25	28	23	5
4	5	Ca	Ca	6.4	3	4	7	6
4	5	Ca	Lp	6.4	10	4	7	3
4	5	Lp	Ca	6.4	11	11	7	6
4	5	Lp	Lp	6.4	5	2	10	3
5	6	Ca	Ca	1.6	8	2	3	6
5	6	Ca	Lp	1.6	6	6	7	3
5	6	Lp	Ca	1.6	0	0	0	3
5	6	Lp	Lp	1.6	28	35	40	5
5	6	Ca	Ca	3.1	2	2	4	6
5	6	Ca	Lp	3.1	4	1	5	3
5	6	Lp	Ca	3.1	0	0	0	3
5	6	Lp	Lp	3.1	23	36	41	5
5	6	Ca	Ca	6.4	3	3	4	6
5	6	Ca	Lp	6.4	8	7	9	3
5	6	Lp	Ca	6.4	7	5	3	6
5	6	Lp	Lp	6.4	3	5	2	3
6	7	Ca	Ca	1.6	3	8	2	6
6	7	Ca	Lp	1.6	10	3	6	3
6	7	Lp	Ca	1.6	0	0	0	3
6	7	Lp	Lp	1.6	11	7	10	5
6	7	Ca	Ca	3.1	2	6	2	6
6	7	Ca	Lp	3.1	13	5	5	3
6	7	Lp	Ca	3.1	0	0	0	3
6	7	Lp	Lp	3.1	7	9	14	5
6	7	Ca	Ca	6.4	4	4	3	6
6	7	Ca	Lp	6.4	4	7	11	3
6	7	Lp	Ca	6.4	5	9	5	6
6	7	Lp	Lp	6.4	3	7	6	3
30	1	Ca	Ca	3.1	2	4	4	6
30	1	Ca	Lp	3.1	4	5	2	4
30	1	Lp	Ca	3.1	0	2	1	2
30	1	Lp	Lp	3.1	12	15	9	5
29	0	Ca	Ca	3.1	5	9	10	5
29	0	Ca	Lp	3.1	12	31	23	3
29	0	Lp	Ca	3.1	5	11	4	4
29	0	Lp	Lp	3.1	11	8	8	5
30	1	Ca	Ca	6.4	2	5	7	6
30	1	Ca	Lp	6.4	8	5	4	4
30	1	Lp	Ca	6.4	0	0	1	2
30	1	Lp	Lp	6.4	11	15	22	5
29	0	Ca	Ca	6.4	7	11	10	5
29	0	Ca	Lp	6.4	13	25	18	3
29	0	Lp	Ca	6.4	6	6	2	4
29	0	Lp	Lp	6.4	11	12	9	5
30	1	Ca	Ca	12.5	10	5	6	6
30	1	Ca	Lp	12.5	11	8	3	4
30	1	Lp	Ca	12.5	0	0	0	2
30	1	Lp	Lp	12.5	11	9	17	5
29	0	Ca	Ca	12.5	15	18	8	5
29	0	Ca	Lp	12.5	4	5	18	3
29	0	Lp	Ca	12.5	7	4	7	4
29	0	Lp	Lp	12.5	9	13	8	5
31	2	Ca	Ca	12.5	4	4	7	6
31	2	Ca	Lp	12.5	35	40	48	3
31	2	Lp	Ca	12.5	0	0	0	3
31	2	Lp	Lp	12.5	27	18	21	5
1	3	Ca	Ca	12.5	12	7	9	4
1	3	Ca	Lp	12.5	18	12	21	2
1	3	Lp	Ca	12.5	6	5	5	3
1	3	Lp	Lp	12.5	16	6	5	3
2	4	Ca	Ca	12.5	28	35	40	5
2	4	Ca	Lp	12.5	5	3	18	4
2	4	Lp	Ca	12.5	7	5	4	6
2	4	Lp	Lp	12.5	13	12	11	5
3	5	Ca	Ca	12.5	6	12	12	6
3	5	Ca	Lp	12.5	6	4	3	3
3	5	Lp	Ca	12.5	8	18	10	6
3	5	Lp	Lp	12.5	5	12	6	3
4	6	Ca	Ca	12.5	2	5	3	6
4	6	Ca	Lp	12.5	2	7	6	3
4	6	Lp	Ca	12.5	2	3	6	6
4	6	Lp	Lp	12.5	20	35	30	2
5	7	Ca	Ca	12.5	4	2	3	6
5	7	Ca	Lp	12.5	7	8	8	3
5	7	Lp	Ca	12.5	7	7	10	6
5	7	Lp	Lp	12.5	2	3	2	3
