Species,Well,Fila,Columna,Antibiotic,Concentration,SlopeR1,InterceptR1,RsquareR1,SlopeR2,InterceptR2,RsquareR2,SlopeR3,InterceptR3,RsquareR3,R1_GrowthRateRelativeToMax,R2_GrowthRateRelativeToMax,R3_GrowthRateRelativeToMax
Ca,A1,A,1,Ampi,100,0,0,0,0,0,0,0,0,0,0,0,0
Ca,A2,A,2,Ampi,50,0,0,0,0,0,0,0,0,0,0,0,0
Ca,A3,A,3,Ampi,25,0,0,0,0,0,0,0,0,0,0,0,0
Ca,A4,A,4,Ampi,12.5,0,0,0,0,0,0,0,0,0,0,0,0
Ca,A5,A,5,Ampi,6.25,0.0164576762744675,-3.99298573356687,0.00723573788767131,0,0,0,0,0,0,0.0304771782860509,0,0
Ca,A6,A,6,Ampi,3.125,0.10930664591305,-5.22776692058732,0.218907537839332,0,0,0,0,0,0,0.20241971465380,0,0
Ca,A7,A,7,Ampi,1.5625,0,0,0,0,0,0,0,0,0,0,0,0
Ca,A8,A,8,Ampi,0.78125,0,0,0,0.140265240908706,-4.25277889270577,0.718522425188911,0.109929822147972,-4.07262643264219,0.632014672008201,0,0.259750446127233,0.203573744718467
Ca,A9,A,9,Ampi,0.390625,0.136028442966157,-4.17239789370292,0.586671066115921,0.105456988976497,-4.03542231898867,0.506972047290601,0.445130470063071,-5.10678725729516,0.962514109618695,0.251904524011402,0.195290720326846,0.824315685301983
Ca,A10,A,10,Ampi,0.1953125,0.516997544553986,-5.36879477645777,0.974810573079191,0.553151120903726,-5.29463515305669,0.984792563719489,0.548727251639816,-5.3540141909159,0.982515313383788,0.957402860285159,1.024353927599490,1.016161577110770
Ca,A11,A,11,Ampi,0.09765625,0.542285461323459,-5.44568122753819,0.975453338330164,0.545066128416821,-5.26104132893955,0.981811794611992,0.560493795056007,-5.33954735373953,0.987571039843233,1.004232335784180,1.009381719290410,1.037951472325940
Ca,A12,A,12,Ampi,0.048828125,0.521960130207136,-5.33271683434617,0.977936856743343,0.54067586498096,-5.11761805777106,0.993433678901584,0.548741868531466,-5.33317527332293,0.985627248163097,0.966592833716919,1.00125160181659,1.016188645428640
Ca,B1,B,1,Carb,100,0,0,0,0,0,0,0,0,0,0,0,0
Ca,B2,B,2,Carb,50,0.051670080463378,-4.51074533202019,0.134311942209566,0,0,0,0,0,0,0.095685334191441,0,0
Ca,B3,B,3,Carb,25,0,0,0,0,0,0,0,0,0,0,0,0
Ca,B4,B,4,Carb,12.5,0.251735057135348,-4.82314733340234,0.957548971264503,0.331651875261327,-4.82327893789811,0.948016432409916,0.199587310371578,-4.50992268582691,0.844228342504799,0.466176031732126,0.614170139372828,0.369606130317737
Ca,B5,B,5,Carb,6.25,0.445600881137605,-5.2692179422524,0.977833657904426,0.509557204168108,-5.22500883175365,0.98308628425883,0.559260807175249,-5.43219141581218,0.989323474488475,0.825186816921491,0.943624452163163,1.035668161435650
Ca,B6,B,6,Carb,3.125,0.504787497089371,-5.35644518741458,0.984139583812524,0.540117108206208,-5.18581492297624,0.99589697567393,0.529107701427857,-5.33429198901989,0.986997195265588,0.934791661276613,1.000216867048530,0.979829076718254
Ca,B7,B,7,Carb,1.5625,0.499046975029283,-5.2859688834746,0.981184932835187,0.509089604117547,-5.04319993395673,0.996940328466788,0.527944395092841,-5.35698465573277,0.982979232054864,0.924161064869043,0.942758526143606,0.977674805727483
Ca,B8,B,8,Carb,0.78125,0.506190484330306,-5.34332144731655,0.978251216847166,0.496907691859299,-5.06129932761157,0.989792150303946,0.502144984596752,-5.23012482269991,0.987143928665293,0.937389785796863,0.920199429369072,0.929898119623615
Ca,B9,B,9,Carb,0.390625,0.40895157117599,-4.86074112138825,0.986703418020898,0.529369269890887,-5.2414153852666,0.982975398763452,0.533743591104562,-5.32654090018702,0.985261026946063,0.75731772439998,0.980313462760902,0.988414057601041
Ca,B10,B,10,Carb,0.1953125,0.512938963708212,-5.34103625584052,0.972007405138877,0.524831575970838,-5.1974635484609,0.989272303354937,0.536118675528109,-5.29193845785815,0.986508958814026,0.949886969830022,0.971910325871922,0.992812362089091
Ca,B11,B,11,Carb,0.09765625,0.53290076032306,-5.41500862503303,0.968200559791421,0.519704776676611,-5.19849046772298,0.985434583937764,0.524581300879388,-5.27078797914857,0.980178618374969,0.98685325985752,0.962416253104835,0.971446853480348
Ca,B12,B,12,Carb,0.048828125,0.527400795027907,-5.38045688844804,0.971934055574409,0.537381806428035,-5.19390105381064,0.987728588078112,0.513593882942596,-5.21608859654296,0.985526684176218,0.976668138940569,0.995151493385250,0.951099783227030
Ca,C1,C,1,Cipro,100,0,0,0,0.074912828732793,-4.3542669392643,0.594456240119373,0,0,0,0,0.138727460616283,0
Ca,C2,C,2,Cipro,50,0.142109695785823,-4.51253595308391,0.659107030152456,0.0978231648556729,-4.32788294451101,0.46229266696483,0.131472060399553,-4.70680279992926,0.720989151161049,0.263166103307080,0.1811540089919870,0.243466778517691
Ca,C3,C,3,Cipro,25,0.110838565711757,-4.49545454049039,0.744756925929082,0.0430264459199644,-3.96618583704184,0.138125963495996,0.0973599721268481,-4.32371727931455,0.438444419857463,0.205256603169920,0.0796786035554896,0.1802962446793480
Ca,C4,C,4,Cipro,12.5,0,0,0,0,0,0,0,0,0,0,0,0
Ca,C5,C,5,Cipro,6.25,0,0,0,0,0,0,0,0,0,0,0,0
Ca,C6,C,6,Cipro,3.125,0,0,0,0,0,0,0,0,0,0,0,0
Ca,C7,C,7,Cipro,1.5625,0.117018972105518,-4.53560173054623,0.888328705290459,0.10214459802957,-4.37104631326593,0.865777069054866,0.0982815521180104,-4.40583966819229,0.825613184603017,0.216701800195404,0.18915666301772,0.1820028742926120
Ca,C8,C,8,Cipro,0.78125,0.154052054414885,-4.43391177101868,0.827718474951976,0.182312346356321,-4.40065035926768,0.865520757635852,0.141365829903211,-4.38026279076287,0.786503770091628,0.285281582249787,0.337615456215409,0.261788573894835
Ca,C9,C,9,Cipro,0.390625,0.251469553649897,-4.70289101815733,0.8964028256584,0.386186507995993,-4.9847400866142,0.973335904249166,0.381899382032054,-5.0861631496337,0.97405524462542,0.465684358610920,0.715160199992580,0.707221077837137
Ca,C10,C,10,Cipro,0.1953125,0.453262173545907,-5.19633146525267,0.995097255391444,0.464881772896471,-5.14826745998222,0.982568220617371,0.485543778744345,-5.31081958032348,0.975765107057671,0.839374395455383,0.860892172030502,0.899155145822861
Ca,C11,C,11,Cipro,0.09765625,0.506263893522474,-5.33639981443566,0.988392662329516,0.520030312413777,-5.25310123854138,0.9825107897476,0.523367070390829,-5.35644234279016,0.977153590752496,0.937525728745322,0.963019097062550,0.969198278501535
Ca,C12,C,12,Cipro,0.048828125,0.529061747969836,-5.33441848986642,0.981987131060476,0.548602845300697,-5.27719358786084,0.988252948852446,0.548320257401873,-5.36176789855645,0.975869700978516,0.979743977721919,1.015931195001290,1.015407884077540
Ca,D1,D,1,Chl,100,0,0,0,0,0,0,0,0,0,0,0,0
Ca,D2,D,2,Chl,50,0.00824284347246888,-4.00070218746951,0.00408525002894495,0,0,0,0,0,0,0.01526452494901640,0,0
Ca,D3,D,3,Chl,25,0,0,0,0,0,0,0,0,0,0,0,0
Ca,D4,D,4,Chl,12.5,0,0,0,0,0,0,0.0682209066454159,-4.4324430666485,0.3158676340033,0,0,0.1263350123063260
Ca,D5,D,5,Chl,6.25,0,0,0,0,0,0,0,0,0,0,0,0
Ca,D6,D,6,Chl,3.125,0.167708854297568,-4.80178625312959,0.980524264880297,0.188060168216069,-4.7722447088102,0.953325837931979,0.126256164853659,-3.95656485005715,0.97335259146756,0.310571952402904,0.348259570770498,0.233807712691961
Ca,D7,D,7,Chl,1.5625,0.296101752789196,-4.86175368040771,0.990885112551739,0.317030667956306,-4.91248208701668,0.973561972953212,0.308519886157998,-4.91051012995817,0.970641551813531,0.548336579239252,0.587093829548715,0.571333122514811
Ca,D8,D,8,Chl,0.78125,0.416958894433463,-5.14074798133184,0.988024684303166,0.44314187229603,-5.12486210208846,0.980980674006476,0.457348211155744,-5.2674679946659,0.98749690883261,0.772146100802709,0.82063309684450,0.846941131769896
Ca,D9,D,9,Chl,0.390625,0.388233230398786,-4.83811654745326,0.994619141796911,0.519118681732324,-5.25649986453783,0.985097848183535,0.444995652198749,-5.00769378185957,0.99354237338361,0.718950426664419,0.961330892096896,0.824066022590276
Ca,D10,D,10,Chl,0.1953125,0.475357482265273,-5.22085501053575,0.989202881069196,0.521502063745019,-5.2656286470221,0.984878367558642,0.506850547290346,-5.28306267553993,0.986018949843108,0.880291633824580,0.965744562490776,0.938612124611752
Ca,D11,D,11,Chl,0.09765625,0.496684650514344,-5.29343452964651,0.983289289147095,0.548695361746563,-5.32828717620131,0.981761963190576,0.509487273637904,-5.23631259484945,0.986980712305012,0.919786389841378,1.016102521752890,0.943494951181304
