"","Replicate","Species","Time_hr","Well","OD"
"1","R1","Ca",0,"A1",0.00410000100000001
"2","R1","Ca",0.251305555555556,"A1",0.00470000300000001
"3","R1","Ca",0.502611111111111,"A1",0.005299998
"4","R1","Ca",0.753944444444444,"A1",0.0054
"5","R1","Ca",1.00527777777778,"A1",0.00649999600000001
"6","R1","Ca",1.25658333333333,"A1",0.00749999800000001
"7","R1","Ca",1.50791666666667,"A1",0.00739999700000001
"8","R1","Ca",1.75922222222222,"A1",0.00910000300000001
"9","R1","Ca",2.01055555555556,"A1",0.007099999
"10","R1","Ca",2.26188888888889,"A1",0.00860000200000001
"11","R1","Ca",2.51319444444444,"A1",0.012299998
"12","R1","Ca",2.76452777777778,"A1",0.009900002
"13","R1","Ca",3.01583333333333,"A1",0.009199997
"14","R1","Ca",3.26716666666667,"A1",0.0239
"15","R1","Ca",3.5185,"A1",0.018800003
"16","R1","Ca",3.76980555555556,"A1",0.021000003
"17","R1","Ca",4.02113888888889,"A1",0.037900006
"18","R1","Ca",4.27244444444444,"A1",0.038099995
"19","R1","Ca",4.52377777777778,"A1",0.035300007
"20","R1","Ca",4.77508333333333,"A1",0.023299998
"21","R1","Ca",5.02641666666667,"A1",0.035900002
"22","R1","Ca",5.27772222222222,"A1",0.014099998
"23","R1","Ca",5.52905555555555,"A1",0.036599999
"24","R1","Ca",5.78036111111111,"A1",0.012500001
"25","R1","Ca",6.03169444444444,"A1",0.010999998
"26","R1","Ca",6.283,"A1",0.023
"27","R1","Ca",6.53433333333333,"A1",0.021899996
"28","R1","Ca",6.78563888888889,"A1",0.018099999
"29","R1","Ca",7.03697222222222,"A1",0.017800001
"30","R1","Ca",7.28827777777778,"A1",0.022700002
"31","R1","Ca",7.53961111111111,"A1",0.012500001
"32","R1","Ca",7.79091666666667,"A1",0.012600003
"33","R1","Ca",8.04225,"A1",0.011600001
"34","R1","Ca",8.29358333333333,"A1",0.011799997
"35","R1","Ca",8.54488888888889,"A1",0.012600003
"36","R1","Ca",8.79622222222222,"A1",0.012399999
"37","R1","Ca",9.04752777777778,"A1",0.011899998
"38","R1","Ca",9.29886111111111,"A1",0.010300001
"39","R1","Ca",9.55016666666667,"A1",0.014599999
"40","R1","Ca",9.8015,"A1",0.010000004
"41","R1","Ca",10.0528055555556,"A1",0.011499999
"42","R1","Ca",10.3041388888889,"A1",0.0107
"43","R1","Ca",10.5554444444444,"A1",0.009199997
"44","R1","Ca",10.8067777777778,"A1",0.011200001
"45","R1","Ca",11.0580833333333,"A1",0.014700001
"46","R1","Ca",11.3094166666667,"A1",0.014700001
"47","R1","Ca",11.5607222222222,"A1",0.00850000000000001
"48","R1","Ca",11.8120555555556,"A1",0.016500002
"49","R1","Ca",12.0633611111111,"A1",0.010800002
"50","R1","Ca",12.3146944444444,"A1",0.00789999800000001
"51","R1","Ca",12.566,"A1",0.011499999
"52","R1","Ca",12.8173333333333,"A1",0.015399998
"53","R1","Ca",13.0686388888889,"A1",0.011300003
"54","R1","Ca",13.3199722222222,"A1",0.011399997
"55","R1","Ca",13.5712777777778,"A1",0.0133
"56","R1","Ca",13.8226111111111,"A1",0.012
"57","R1","Ca",14.0739166666667,"A1",0.00950000300000001
"58","R1","Ca",14.32525,"A1",0.00850000000000001
"59","R1","Ca",14.5765555555556,"A1",0.00839999900000001
"60","R1","Ca",14.8278888888889,"A1",0.007700002
"61","R1","Ca",15.0791944444444,"A1",0.006400002
"62","R1","Ca",15.3305277777778,"A1",0.010199999
"63","R1","Ca",15.5818333333333,"A1",0.0098
"64","R1","Ca",15.8331666666667,"A1",0.00900000100000001
"65","R1","Ca",16.0845,"A1",0.0098
"66","R1","Ca",16.3358055555556,"A1",0.010499997
"67","R1","Ca",16.5871111111111,"A1",0.0076
"68","R1","Ca",16.8384444444444,"A1",0.009599997
"69","R1","Ca",17.08975,"A1",0.010300001
"70","R1","Ca",17.3410833333333,"A1",0.012500001
"71","R1","Ca",17.5923888888889,"A1",0.009299999
"72","R1","Ca",17.8437222222222,"A1",0.009299999
"73","R1","Ca",18.0950277777778,"A1",0.009199997
"74","R1","Ca",18.3463611111111,"A1",0.0067
"75","R1","Ca",18.5976944444444,"A1",0.010199999
"76","R1","Ca",18.849,"A1",0.00739999700000001
"77","R1","Ca",19.1003333333333,"A1",0.007099999
"78","R1","Ca",19.3516388888889,"A1",0.006800002
"79","R1","Ca",19.6029722222222,"A1",0.003999999
"80","R1","Ca",19.8542777777778,"A1",0.00560000400000001
"81","R1","Ca",20.1056111111111,"A1",0.00510000300000001
"82","R1","Ca",20.3569166666667,"A1",0.006199999
"83","R1","Ca",20.60825,"A1",0.00799999900000001
"84","R1","Ca",20.8595555555556,"A1",0.004299996
"85","R1","Ca",21.1108888888889,"A1",0.005799999
"86","R1","Ca",21.3622222222222,"A1",0.003800003
"87","R1","Ca",21.6135277777778,"A1",0.002999997
"88","R1","Ca",21.8648333333333,"A1",0.003899997
"89","R1","Ca",22.1161666666667,"A1",0.002800001
"90","R1","Ca",22.3675,"A1",0.003999999
"91","R1","Ca",22.6188055555556,"A1",0.00219999800000001
"92","R1","Ca",22.8701111111111,"A1",0.002500003
"93","R1","Ca",23.1214444444444,"A1",0.0023
"94","R1","Ca",23.3727777777778,"A1",0.00219999800000001
"95","R1","Ca",23.6240833333333,"A1",0.00169999700000001
"96","R1","Ca",23.8754166666667,"A1",0.002800001
"97","R1","Ca",0,"B1",0.005299998
"98","R1","Ca",0.251305555555556,"B1",0.0054
"99","R1","Ca",0.502611111111111,"B1",0.00649999600000001
"100","R1","Ca",0.753944444444444,"B1",0.006599998
"101","R1","Ca",1.00527777777778,"B1",0.00739999700000001
"102","R1","Ca",1.25658333333333,"B1",0.00900000100000001
"103","R1","Ca",1.50791666666667,"B1",0.00900000100000001
"104","R1","Ca",1.75922222222222,"B1",0.010000004
"105","R1","Ca",2.01055555555556,"B1",0.010199999
"106","R1","Ca",2.26188888888889,"B1",0.012
"107","R1","Ca",2.51319444444444,"B1",0.011499999
"108","R1","Ca",2.76452777777778,"B1",0.023799999
"109","R1","Ca",3.01583333333333,"B1",0.0221
"110","R1","Ca",3.26716666666667,"B1",0.030600002
"111","R1","Ca",3.5185,"B1",0.040799996
"112","R1","Ca",3.76980555555556,"B1",0.022399997
"113","R1","Ca",4.02113888888889,"B1",0.041200003
"114","R1","Ca",4.27244444444444,"B1",0.047300002
"115","R1","Ca",4.52377777777778,"B1",0.015700003
"116","R1","Ca",4.77508333333333,"B1",0.015799997
"117","R1","Ca",5.02641666666667,"B1",0.028000003
"118","R1","Ca",5.27772222222222,"B1",0.013000002
"119","R1","Ca",5.52905555555555,"B1",0.031400001
"120","R1","Ca",5.78036111111111,"B1",0.013999997
"121","R1","Ca",6.03169444444444,"B1",0.020000001
"122","R1","Ca",6.283,"B1",0.039899996
"123","R1","Ca",6.53433333333333,"B1",0.014099998
"124","R1","Ca",6.78563888888889,"B1",0.010899996
"125","R1","Ca",7.03697222222222,"B1",0.033499999
"126","R1","Ca",7.28827777777778,"B1",0.013400001
"127","R1","Ca",7.53961111111111,"B1",0.011200001
"128","R1","Ca",7.79091666666667,"B1",0.013800001
"129","R1","Ca",8.04225,"B1",0.019799998
"130","R1","Ca",8.29358333333333,"B1",0.007200001
"131","R1","Ca",8.54488888888889,"B1",0.007200001
"132","R1","Ca",8.79622222222222,"B1",0.00850000000000001
"133","R1","Ca",9.04752777777778,"B1",0.008100001
"134","R1","Ca",9.29886111111111,"B1",0.009199997
"135","R1","Ca",9.55016666666667,"B1",0.009299999
"136","R1","Ca",9.8015,"B1",0.014800003
"137","R1","Ca",10.0528055555556,"B1",0.00900000100000001
"138","R1","Ca",10.3041388888889,"B1",0.008100001
"139","R1","Ca",10.5554444444444,"B1",0.010800002
