"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"1","col_conc","A1","R1","0","0","0"
"2","col_conc","A1","R2","0","0","0"
"3","col_conc","A1","R3","0","0","0"
"4","col_conc","A2","R1","0","0","0"
"5","col_conc","A2","R2","0","0","0"
"6","col_conc","A2","R3","0","0","0"
"7","col_conc","A3","R1","0","0","0"
"8","col_conc","A3","R2","0","0","0"
"9","col_conc","A3","R3","0","0","0"
"10","col_conc","A4","R1","0","0","0"
"11","col_conc","A4","R2","0","0","0"
"12","col_conc","A4","R3","0","0","0"
"13","col_conc","A5","R1","0","0","0"
"14","col_conc","A5","R2","0","0","0"
"15","col_conc","A5","R3","0","0","0"
"16","col_conc","A6","R1","0","0","0"
"17","col_conc","A6","R2","0","0","0"
"18","col_conc","A6","R3","0","0","0"
"19","col_conc","A7","R1","0","0","0"
"20","col_conc","A7","R2","0","0","0"
"21","col_conc","A7","R3","0","0","0"
"22","col_conc","A8","R1","0","0","0"
"23","col_conc","A8","R2","0","0","0"
"24","col_conc","A8","R3","0","0","0"
"25","col_conc","A9","R1","0.436917570019797","-5.49296263070284","0.990112615836448"
"26","col_conc","A9","R2","0.354675497460061","-5.37598372661969","0.994533034172417"
"27","col_conc","A9","R3","0.170395776202713","-4.67700316214359","0.864265517937013"
"28","col_conc","A10","R1","0.451335579256332","-5.57234051937624","0.996797938000051"
"29","col_conc","A10","R2","0.369024919474595","-5.3053605848228","0.999010083074826"
"30","col_conc","A10","R3","0.324489731959124","-5.37739824763988","0.997098483378846"
"31","col_conc","A11","R1","0.419924332640535","-5.41597101959053","0.994566165292682"
"32","col_conc","A11","R2","0.39789304958112","-5.45390844847835","0.99715083123301"
"33","col_conc","A11","R3","0.170832610380304","-4.0781721408239","0.961137230203979"
"34","col_conc","A12","R1","0.455181621007843","-5.54492327073212","0.99565867963205"
"35","col_conc","A12","R2","0.414691813522632","-5.59355980365965","0.997161023252665"
"36","col_conc","A12","R3","0.448918128123402","-6.05140447556279","0.998057518584815"
"37","col_conc","B1","R1","0","0","0"
"38","col_conc","B1","R2","0","0","0"
"39","col_conc","B1","R3","0","0","0"
"40","col_conc","B2","R1","0.303928963979882","-5.3359155780842","0.974542291647691"
"41","col_conc","B2","R2","0.3530796930487","-5.41506865473589","0.991760157577125"
"42","col_conc","B2","R3","0","0","0"
"43","col_conc","B3","R1","0.417383377003241","-5.49171119092982","0.997580806663088"
"44","col_conc","B3","R2","0.376774718600922","-5.37592972356693","0.99759512883665"
"45","col_conc","B3","R3","0.297815959774359","-5.14506822814367","0.998708473266423"
"46","col_conc","B4","R1","0.444177937217673","-5.50053660406151","0.998359229940251"
"47","col_conc","B4","R2","0.405154771446487","-5.567066798287","0.999334352677056"
"48","col_conc","B4","R3","0.420387988166924","-5.91261437382076","0.996416001731173"
"49","col_conc","B5","R1","0.458716971557639","-5.58694949538192","0.998629103884357"
"50","col_conc","B5","R2","0.420690244278028","-5.66454158693593","0.999390275028946"
"51","col_conc","B5","R3","0.467710445553321","-6.16113201673275","0.99818507999356"
"52","col_conc","B6","R1","0.47678278099934","-5.68337350434555","0.998414496157178"
"53","col_conc","B6","R2","0.413373289534717","-5.63041824069251","0.999380286269741"
"54","col_conc","B6","R3","0.481698450919099","-6.2455618876716","0.997669320110706"
"55","col_conc","B7","R1","0.451793582738609","-5.52631757556097","0.997219017823523"
"56","col_conc","B7","R2","0.409985494034571","-5.61810000565655","0.99904128961139"
"57","col_conc","B7","R3","0.398208004415976","-5.63636181525972","0.997988608577808"
"58","col_conc","B8","R1","0.44422347351689","-5.50313538577484","0.99745792462455"
"59","col_conc","B8","R2","0.299858483450987","-4.81087812162687","0.997135237471064"
"60","col_conc","B8","R3","0.430045582056918","-5.86478003232929","0.998959478671431"
"61","col_conc","B9","R1","0.446504019448943","-5.53690695766802","0.996574113660732"
"62","col_conc","B9","R2","0.400212380477382","-5.58852520176912","0.998846344312586"
"63","col_conc","B9","R3","0.46401045664088","-6.13502834776745","0.99760492404865"
