Species	pH	OD	StErr
Ca	2.5	-0.000555000000000003	0.000624092674742035
Ca	3.5	0.000929999999999995	0.000539567728217073
Ca	4.5	0.000434999999999998	0.000510579735855887
Ca	5.5	0.000804999999999997	0.00028938152440449
Ca	6.5	0.007525	0.000686761724811937
Ca	7.5	0.728955	0.0162864946607099
Ca	8.5	0.5359775	0.00920803758951928
Ca	9.5	0.9594775	0.0159038341158141
Ca	10.5	0.004465	0.00270609651219858
Lp	2.5	0.000799999999999997	0.000193692195678264
Lp	3.5	0.0269825	0.000560942287584026
Lp	4.5	0.19136	0.00142334699446996
Lp	5.5	0.17599	0.00135284268609966
Lp	6.5	0.61043	0.00204343664774158
Lp	7.5	0.0438275	0.000409905985155946
Lp	8.5	0.0030225	0.000840876279048628
Lp	9.5	0.002905	0.000636035900454264
Lp	10.5	0.0016775	0.000506382184389089
